run_dir,result_file,w_lpm,w_volatility,w_cost,delta_h,gamma,timesteps,lpm_target,h_min,h_max,n_scenarios,sac_mean_pnl,naive_mean_pnl,diff_mean_pnl_vs_naive,sac_es95,naive_es95,diff_es95_vs_naive,sac_he,naive_he,diff_he_vs_naive,mean_h_diagnostic,turnover_h,flag_mean_pnl_better_than_naive,flag_es95_better_than_naive,flag_he_better_than_naive,flags_total,rank_score
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,2000,0.0001,0.0,1.25,50652,251924.89901761053,251676.30192371484,248.5970938956889,-6562556.668073429,-6653209.414350571,90652.74627714232,0.795640321722833,0.7943924975112011,0.0012478242116319,0.9916887206932762,0.0988773065114272,True,True,True,3,26.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,50000,0.0,0.0,1.25,50652,315708.5184205956,251676.30192371484,64032.21649688078,-6585328.2646111315,-6653209.414350571,67881.1497394396,0.7951622606629357,0.7943924975112011,0.0007697631517346,0.982532910596042,0.160968798830132,True,True,True,3,35.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,2000,0.0005,0.0,1.25,50652,251874.00783858495,251676.30192371484,197.70591487010824,-6581696.153659691,-6653209.414350571,71513.26069088001,0.7952586757407569,0.7943924975112011,0.0008661782295558,0.9901696763147512,0.1011891424978729,True,True,True,3,35.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,2000,0.0,0.0,1.25,50652,251212.06280186385,251676.30192371484,-464.23912185098743,-6566576.469245953,-6653209.414350571,86632.94510461856,0.79537733892755,0.7943924975112011,0.0009848414163489,0.9904555393603602,0.1008194357167766,False,True,True,2,33.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,2000,0.01,0.0,1.25,50652,251196.89893864025,251676.30192371484,-479.4029850746156,-6566566.940604026,-6653209.414350571,86642.47374654468,0.7952584747012985,0.7943924975112011,0.0008659771900974,0.9907329409582152,0.100288067918634,False,True,True,2,34.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,50000,0.01,0.0,1.25,50652,256332.7512248284,251676.30192371484,4656.449301113578,-6691698.374393998,-6653209.414350571,-38488.9600434266,0.7965326053665287,0.7943924975112011,0.0021401078553275,0.9906780611189808,0.1653033500635608,True,False,True,2,44.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,50000,0.0001,0.0,1.25,50652,260130.5459812052,251676.30192371484,8454.244057490345,-6683872.795266482,-6653209.414350571,-30663.380915910937,0.7948789015802831,0.7943924975112011,0.0004864040690819,0.980670679951297,0.1580150785418915,True,False,True,2,45.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,2000,0.01,0.0,1.25,50652,263131.2263097213,251676.30192371484,11454.92438600646,-6636380.208037898,-6653209.414350571,16829.206312673166,0.7895016123312625,0.7943924975112011,-0.0048908851799386,0.9762206404867528,0.1906267532246865,True,True,False,2,47.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,2000,0.0005,0.0,1.25,50652,270541.7962773435,251676.30192371484,18865.49435362869,-6642436.536853531,-6653209.414350571,10772.877497039735,0.7885246119957907,0.7943924975112011,-0.0058678855154103,0.9733276471707464,0.1967446392306883,True,True,False,2,50.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,2000,0.0,0.0,1.25,50652,260365.12822869787,251676.30192371484,8688.826304983028,-6655991.137378601,-6653209.414350571,-2781.7230280302465,0.7886602888631573,0.7943924975112011,-0.0057322086480438,0.9797369059102734,0.1995669420330904,True,False,False,1,55.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,50000,0.0005,0.0,1.25,50652,275093.52908157633,251676.30192371484,23417.22715786149,-6749902.927607578,-6653209.414350571,-96693.51325700711,0.7875312110521923,0.7943924975112011,-0.0068612864590088,0.9892802126443988,0.1591249990431918,True,False,False,1,56.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.02,,2000,0.0001,0.0,1.25,50652,261966.4732891101,251676.30192371484,10290.171365395248,-6694574.732660876,-6653209.414350571,-41365.318310304545,0.7877177621773432,0.7943924975112011,-0.0066747353338578,0.9802786045281212,0.203476958298677,True,False,False,1,62.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,2000,0.0001,0.0,1.25,50652,261966.4732891101,251676.30192371484,10290.171365395248,-6694574.732660876,-6653209.414350571,-41365.318310304545,0.7877177621773432,0.7943924975112011,-0.0066747353338578,0.9802786045281212,0.203476958298677,True,False,False,1,62.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,50000,0.0005,0.0,1.25,50652,206309.0943109849,251676.30192371484,-45367.20761272998,-6919453.5218120795,-6653209.414350571,-266244.10746150836,0.7985981546553106,0.7943924975112011,0.0042056571441094,0.8925269378237638,0.3184920532386667,False,False,True,1,73.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,50000,0.0,0.0,1.25,50652,323355.516169944,251676.30192371484,71679.21424622918,-6887755.857615475,-6653209.414350571,-234546.4432649035,0.7799839773257553,0.7943924975112011,-0.0144085201854458,0.9174509884010194,0.3389401630659573,True,False,False,1,75.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,50000,0.01,0.0,1.25,50652,204128.01755192297,251676.30192371484,-47548.28437179187,-6942894.847939202,-6653209.414350571,-289685.4335886305,0.7977147417752024,0.7943924975112011,0.0033222442640012,0.9207912694742196,0.3196069769398421,False,False,True,1,78.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T50000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,50000,0.0001,0.0,1.25,50652,323488.76618968666,251676.30192371484,71812.46426597182,-7081243.59508093,-6653209.414350571,-428034.1807303587,0.7742226928499276,0.7943924975112011,-0.0201698046612734,0.918341230465356,0.3251864453635725,True,False,False,1,79.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.2,0.995,2000,0.0,0.0,1.25,50652,376901.50428492465,251676.30192371484,125225.2023612098,-9974448.386142911,-6653209.414350571,-3321238.971792342,0.5788726076503055,0.7943924975112011,-0.2155198898608956,0.7544365500325118,1.9337242224924829,True,False,False,1,90.0
